variant,epochs,threads,ranks,batch,repeat_count,test_q3,delta_vs_serial,accuracy_status,mean_epoch_s,std_epoch_s,mean_total_s
serial,80,1,1,64,1,59.2814,0.0000,reference,2.6133,0.0000,236.8149
openmp,80,16,1,64,1,59.4233,0.1419,pass,0.8330,0.0000,94.9712
pthreads,80,16,1,64,1,59.2263,-0.0551,pass,0.7394,0.0000,87.1724
mpi,80,1,4,64,1,59.2263,-0.0551,pass,0.7250,0.0000,85.7710
hybrid,80,4,4,64,1,59.2972,0.0158,pass,0.6273,0.0000,77.9728
cuda,80,1,1,64,1,59.3681,0.0867,pass,0.0769,0.0000,6.2677
